name,simulationIndex,dataset,optimizer,learning rate,momentum,l2,batchSize,iteratorDistribution,maxTestSamples,gar,communicationPattern,behavior,numEpochs,slowdown,joiningLate,iterationsBeforeEvaluation,iterationsBeforeSending,local model poisoning attack,#attackers
Figure 4.3 - bristle,0,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-0-0-0-0-0-0],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,1,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-10-10-10-10-0-0-0-0-0],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,2,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-10-10-10-10-0-0-0-0],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,3,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-10-10-10-10-0-0-0],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,4,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-0-10-10-10-10-0-0],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,5,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-0-0-10-10-10-10-0],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,6,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[0-0-0-0-0-0-10-10-10-10],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,7,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-0-0-0-0-0-0-10-10-10],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,8,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-0-0-0-0-0-0-10-10],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,9,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-0-0-0-0-0-0-10],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,10,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,bristle,all,benign,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,11,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,bristle,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,12,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,bristle,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,13,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,bristle,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,14,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-10-10-10-10-10-10],num_10,bristle,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
Figure 4.3 - bristle,15,mnist,adam,rate_1em3,none,l2_5em3,batch_5,[10-10-10-10-0-0-0-0-0-0],num_10,bristle,all,label_flip_all,iter_300,none,n0,10,1,none,num_5
