name,simulationIndex,dataset,optimizer,learning rate,momentum,l2,batchSize,iteratorDistribution,maxTestSamples,gar,communicationPattern,behavior,numEpochs,slowdown,joiningLate,iterationsBeforeEvaluation,iterationsBeforeSending,local model poisoning attack,#attackers
Figure 3.1 - average,0,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,1,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,2,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,3,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,4,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,5,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,6,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,7,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - average,8,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Simple average,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,0,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,1,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,2,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,3,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,4,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,5,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,6,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,7,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - median,8,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Median,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,0,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,1,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,2,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,3,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,4,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,5,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,6,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,7,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - krum,8,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Krum (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,0,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,1,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,2,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,3,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,4,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,5,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,6,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,7,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bridge,8,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bridge (b=1),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,0,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,1,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,2,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,3,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,4,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,5,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,6,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,7,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - mozi,8,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Mozi (frac=0.5),All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,0,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,1,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,2,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,3,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,4,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,5,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,6,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,7,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
Figure 3.1 - bristle,8,MNIST,Adam,1e-3,<none>,5e-3,5,[50-50-50-50-50-50-50-50-50-50],10,Bristle,All,Noise,200,-,0,10,1,<none>,20
